begin_timestamp;end_timestamp;name;duration;session
1524757506006508962;1524757506006604480;MaxPool;95518;6
1524757505977953789;1524757505978048827;MaxPool;95038;5
1524757505982319871;1524757505982412670;gradients/MatMul_1_grad/MatMul_1;92799;5
1524757505964828866;1524757505964921345;gradients/MatMul_1_grad/MatMul_1;92479;4
1524757506010921844;1524757506011013843;gradients/MatMul_1_grad/MatMul_1;91999;6
1524757505939033849;1524757505939125687;gradients/MatMul_1_grad/MatMul_1;91838;3
1524757505933733083;1524757505933822842;Relu;89759;3
1524757505942228677;1524757505942316836;gradients/BiasAdd_1_grad/BiasAddGrad;88159;3
1524757505985049587;1524757505985137746;gradients/BiasAdd_1_grad/BiasAddGrad;88159;5
1524757505968015855;1524757505968103854;gradients/BiasAdd_1_grad/BiasAddGrad;87999;4
1524757506013777958;1524757506013865797;gradients/BiasAdd_1_grad/BiasAddGrad;87839;6
1524757505969673748;1524757505969761267;gradients/MaxPool_grad/MaxPoolGrad;87519;4
1524757505986711001;1524757505986798519;gradients/MaxPool_grad/MaxPoolGrad;87518;5
1524757505985208145;1524757505985295503;gradients/Conv2D_1_grad/Conv2DBackpropInput;87358;5
1524757506015436332;1524757506015523690;gradients/MaxPool_grad/MaxPoolGrad;87358;6
1524757505943890891;1524757505943978089;gradients/MaxPool_grad/MaxPoolGrad;87198;3
1524757505960407029;1524757505960493588;Relu;86559;4
1524757506006418403;1524757506006504962;Relu;86559;6
1524757505933537886;1524757505933624285;Conv2D;86399;3
1524757505977863390;1524757505977949789;Relu;86399;5
1524757506013935716;1524757506014022114;gradients/Conv2D_1_grad/Conv2DBackpropInput;86398;6
1524757505985333263;1524757505985419501;gradients/Conv2D_1_grad/Conv2DBackpropInput;86238;5
1524757505942387875;1524757505942473953;gradients/Conv2D_1_grad/Conv2DBackpropInput;86078;3
1524757505968174893;1524757505968260651;gradients/Conv2D_1_grad/Conv2DBackpropInput;85758;4
1524757505968297771;1524757505968383049;gradients/Conv2D_1_grad/Conv2DBackpropInput;85278;4
1524757505942510913;1524757505942595391;gradients/Conv2D_1_grad/Conv2DBackpropInput;84478;3
1524757506014058914;1524757506014143072;gradients/Conv2D_1_grad/Conv2DBackpropInput;84158;6
1524757505987832422;1524757505987915621;gradients/Conv2D_grad/Conv2DBackpropInput;83199;5
1524757505970794050;1524757505970877089;gradients/Conv2D_grad/Conv2DBackpropInput;83039;4
1524757505945015512;1524757505945098391;gradients/Conv2D_grad/Conv2DBackpropInput;82879;3
