session id;operation;latency;nb inputs
4;Adam/update_Variable_5/ApplyAdam;397774;10
4;gradients/Conv2D_grad/Conv2DBackpropFilter;254373;3
4;gradients/Conv2D_1_grad/Conv2DBackpropFilter;236866;3
4;gradients/Conv2D_1_grad/tuple/control_dependency;235822;2
4;Variable/read;214416;1
4;Adam/update_Variable_1/ApplyAdam;211726;10
4;Variable_1/read;211702;1
4;Variable_4/read;209694;1
4;Variable_5/read;208988;1
4;Variable_2/read;208913;1
4;Variable_3/read;208809;1
4;Variable_6/read;208001;1
4;Variable_7/read;207261;1
4;beta2_power/read;161999;1
4;beta1_power/read;159060;1
4;gradients/Mean_grad/Cast;142992;1
4;gradients/Mean_grad/floordiv;140072;2
4;gradients/Conv2D_1_grad/Shape;135670;1
4;gradients/Conv2D_grad/Shape;102376;1
4;gradients/MatMul_1_grad/tuple/control_dependency;83068;2
4;gradients/MatMul_grad/tuple/control_dependency;79555;2
4;gradients/Conv2D_1_grad/tuple/control_dependency_1;76770;2
4;gradients/Conv2D_grad/tuple/control_dependency_1;73665;2
4;gradients/dropout/mul_grad/Sum;65201;2
4;gradients/MatMul_1_grad/tuple/control_dependency_1;64095;2
4;gradients/Relu_grad/ReluGrad;62966;2
4;BiasAdd_1;60165;2
4;Adam/update_Variable_6/ApplyAdam;59654;10
4;gradients/BiasAdd_grad/tuple/control_dependency;59326;2
4;Adam/update_Variable_7/ApplyAdam;56550;10
4;gradients/MatMul_grad/tuple/control_dependency_1;53985;2
4;gradients/dropout/mul_grad/Sum_1;53654;2
4;dropout/random_uniform/RandomUniform;48256;1
4;gradients/dropout/mul_grad/Shape;47714;1
4;Adam/update_Variable_3/ApplyAdam;47026;10
4;gradients/dropout/div_grad/Neg;46999;1
4;gradients/BiasAdd_1_grad/tuple/control_dependency;46005;2
4;Adam/Assign_1;42744;2
4;gradients/MaxPool_1_grad/MaxPoolGrad;38875;3
4;gradients/MatMul_1_grad/MatMul_1;38343;2
4;gradients/Add_grad/Reshape;33919;2
4;gradients/MatMul_grad/MatMul_1;33563;2
4;gradients/dropout/div_grad/RealDiv_1;32944;2
4;gradients/Add_1_grad/Shape;32477;1
4;gradients/dropout/mul_grad/mul_1;32158;2
4;dropout/random_uniform/mul;31433;2
4;Adam/Assign;31261;2
4;gradients/Add_grad/Shape;29347;1
4;gradients/dropout/div_grad/RealDiv_2;28081;2
4;Reshape_4;27966;2
4;gradients/Add_1_grad/Reshape;27555;2
4;gradients/Add_grad/BroadcastGradientArgs;27137;2
4;gradients/dropout/mul_grad/Shape_1;27042;1
4;gradients/dropout/mul_grad/BroadcastGradientArgs;26937;2
4;gradients/dropout/div_grad/Sum;26754;2
4;gradients/dropout/div_grad/Reshape;26600;2
4;dropout/random_uniform;25522;2
4;gradients/dropout/div_grad/mul;24997;2
4;dropout/div;23892;2
4;gradients/BiasAdd_grad/tuple/control_dependency_1;21985;2
4;dropout/Shape;17503;1
4;gradients/BiasAdd_1_grad/tuple/control_dependency_1;17142;2
4;BiasAdd;16579;2
4;gradients/dropout/div_grad/Sum_1;16474;2
4;gradients/Add_1_grad/tuple/control_dependency_1;16274;2
4;gradients/Mean_grad/Tile;15836;2
4;gradients/Add_grad/Sum_1;15667;2
4;gradients/dropout/mul_grad/tuple/control_dependency;15502;2
4;gradients/Add_1_grad/Sum_1;15467;2
4;gradients/Add_1_grad/tuple/control_dependency;15370;2
4;gradients/Add_grad/tuple/control_dependency;14503;2
4;gradients/dropout/div_grad/tuple/control_dependency;13942;2
4;gradients/Add_grad/tuple/control_dependency_1;13843;2
4;gradients/Reshape_4_grad/Shape;13389;1
4;Add_1;13355;2
4;gradients/BiasAdd_grad/BiasAddGrad;13325;1
4;Relu_2;13298;1
4;Slice_2;13176;3
4;Shape;13020;1
4;MatMul_1;12456;2
4;gradients/Add_1_grad/Reshape_1;12176;2
4;gradients/Relu_1_grad/ReluGrad;12150;2
4;gradients/dropout/div_grad/Reshape_1;12108;2
4;Reshape_1;12058;2
4;gradients/Add_1_grad/BroadcastGradientArgs;11964;2
4;gradients/Add_grad/Reshape_1;11750;2
4;gradients/dropout/mul_grad/Reshape;11547;2
4;gradients/Conv2D_grad/Conv2DBackpropInput;11539;3
4;gradients/MatMul_1_grad/MatMul;10916;2
4;gradients/MaxPool_grad/MaxPoolGrad;10906;3
4;gradients/dropout/mul_grad/mul;10539;2
4;gradients/dropout/mul_grad/Reshape_1;10520;2
4;gradients/MatMul_grad/MatMul;9272;2
4;Adam/update_Variable_2/ApplyAdam;9218;10
4;gradients/Conv2D_1_grad/Conv2DBackpropInput;9030;3
4;gradients/BiasAdd_1_grad/BiasAddGrad;9013;1
4;gradients/Add_grad/Sum;8439;2
4;MaxPool;8363;1
4;gradients/Reshape_1_grad/Reshape;8168;2
4;Conv2D_1;8163;2
4;gradients/Reshape_4_grad/Reshape;8020;2
4;MaxPool_1;7989;1
4;dropout/mul;7882;2
4;gradients/dropout/div_grad/BroadcastGradientArgs;7880;2
4;Conv2D;7860;2
4;gradients/Mean_grad/truediv;7629;2
